Time,BKK_P.VOLT
,Average
,
,V
05.12.2025 09:52:43.052,  0.0
05.12.2025 09:52:46.932,  0.0
05.12.2025 09:52:50.932,  0.0
05.12.2025 09:52:55.002,  0.0
05.12.2025 09:52:58.933,  0.0
05.12.2025 09:53:02.922,  0.0
05.12.2025 09:53:07.092,  0.0
05.12.2025 09:53:11.052,  0.0
05.12.2025 09:53:14.922,  0.0
05.12.2025 09:53:18.922,  0.0
05.12.2025 09:53:23.082,  0.0
05.12.2025 09:53:26.922,  0.0
05.12.2025 09:53:30.932,  0.0
05.12.2025 09:53:34.922,  0.0
05.12.2025 09:53:39.122,  0.0
05.12.2025 09:53:42.932,  0.0
05.12.2025 09:53:46.952,  0.0
05.12.2025 09:53:50.942,  0.0
05.12.2025 09:53:55.052,  0.0
05.12.2025 09:53:58.953,  0.0
05.12.2025 09:54:02.952,  0.0
05.12.2025 09:54:06.962,  0.0
05.12.2025 09:54:10.952,  0.0
05.12.2025 09:54:14.952,  0.0
05.12.2025 09:54:19.292,  0.0
05.12.2025 09:54:23.052,  0.0
05.12.2025 09:54:27.092,  0.0
05.12.2025 09:54:30.972,  0.0
05.12.2025 09:54:34.982,  0.0
05.12.2025 09:54:38.982,  0.0
05.12.2025 09:54:42.972,  0.0
05.12.2025 09:54:46.982,  0.0
05.12.2025 09:54:50.972,  0.0
05.12.2025 09:54:54.972,  0.0
05.12.2025 09:54:59.092,  0.0
05.12.2025 09:55:02.982,  0.0
05.12.2025 09:55:06.992,  0.0
05.12.2025 09:55:10.982,  0.0
05.12.2025 09:55:14.992,  0.0
05.12.2025 09:55:18.992,  0.0
05.12.2025 09:55:22.992,  0.0
05.12.2025 09:55:26.982,  0.0
05.12.2025 09:55:31.092,  0.0
05.12.2025 09:55:34.992,  0.0
05.12.2025 09:55:38.982,  0.0
05.12.2025 09:55:42.992,  0.0
05.12.2025 09:55:46.982,  0.0
05.12.2025 09:55:50.992,  0.0
05.12.2025 09:55:55.002,  0.0
05.12.2025 09:55:59.002,  0.0
05.12.2025 09:56:03.092,  0.0
05.12.2025 09:56:06.992,  0.0
05.12.2025 09:56:11.002,  0.0
05.12.2025 09:56:15.092,  0.0
05.12.2025 09:56:19.092,  0.0
05.12.2025 09:56:23.092,  0.0
05.12.2025 09:56:27.092,  0.0
05.12.2025 09:56:30.992,  0.0
05.12.2025 09:56:35.002,  0.0
05.12.2025 09:56:38.992,  0.0
05.12.2025 09:56:43.002,  0.0
05.12.2025 09:56:47.003,  0.0
05.12.2025 09:56:50.992,  0.0
05.12.2025 09:56:55.092,  0.0
05.12.2025 09:56:58.992,  0.0
05.12.2025 09:57:03.002,  0.0
05.12.2025 09:57:07.082,  0.0
05.12.2025 09:57:11.092,  0.0
05.12.2025 09:57:15.092,  0.0
05.12.2025 09:57:19.082,  0.0
05.12.2025 09:57:23.002,  0.0
05.12.2025 09:57:27.092,  0.0
05.12.2025 09:57:31.122,  0.0
05.12.2025 09:57:35.122,  0.0
05.12.2025 09:57:39.002,  0.0
05.12.2025 09:57:43.012,  0.0
05.12.2025 09:57:47.002,  0.0
05.12.2025 09:57:51.012,  0.0
05.12.2025 09:57:55.122,  0.0
05.12.2025 09:57:59.012,  0.0
05.12.2025 09:58:03.002,  0.0
05.12.2025 09:58:07.012,  0.0
05.12.2025 09:58:11.012,  0.0
05.12.2025 09:58:15.013,  0.0
05.12.2025 09:58:19.002,  0.0
05.12.2025 09:58:23.002,  0.0
05.12.2025 09:58:27.012,  0.0
05.12.2025 09:58:31.012,  0.0
05.12.2025 09:58:35.122,  0.0
05.12.2025 09:58:39.122,  0.0
05.12.2025 09:58:43.013,  0.0
05.12.2025 09:58:47.136,  0.0
05.12.2025 09:58:51.136,  0.0
05.12.2025 09:58:55.136,  0.0
05.12.2025 09:58:59.136,  0.0
05.12.2025 09:59:03.136,  0.0
05.12.2025 09:59:07.136,  0.0
05.12.2025 09:59:11.136,  0.0
05.12.2025 09:59:15.136,  0.0
05.12.2025 09:59:19.136,  0.0
05.12.2025 09:59:23.076,  0.0
05.12.2025 09:59:27.176,  0.0
05.12.2025 09:59:31.136,  0.0
05.12.2025 09:59:35.027,  0.0
05.12.2025 09:59:39.017,  0.0
05.12.2025 09:59:43.037,  0.0
05.12.2025 09:59:47.036,  0.0
05.12.2025 09:59:51.136,  0.0
05.12.2025 09:59:55.036,  0.0
05.12.2025 09:59:59.026,  0.0
05.12.2025 10:00:03.036,  0.0
05.12.2025 10:00:07.036,  0.0
05.12.2025 10:00:11.036,  0.0
05.12.2025 10:00:15.136,  0.0
05.12.2025 10:00:19.036,  0.0
05.12.2025 10:00:23.037,  0.0
05.12.2025 10:00:27.037,  0.0
05.12.2025 10:00:31.136,  0.0
05.12.2025 10:00:35.056,  0.0
05.12.2025 10:00:39.176,  0.0
05.12.2025 10:00:43.076,  0.0
05.12.2025 10:00:47.077,  0.0
05.12.2025 10:00:51.176,  0.0
05.12.2025 10:00:55.177,  0.0
05.12.2025 10:00:59.066,  0.0
05.12.2025 10:01:03.076,  0.0
05.12.2025 10:01:07.066,  0.0
05.12.2025 10:01:11.076,  0.0
05.12.2025 10:01:15.066,  0.0
05.12.2025 10:01:19.066,  0.0
05.12.2025 10:01:23.076,  0.0
05.12.2025 10:01:27.076,  0.0
05.12.2025 10:01:31.077,  0.0
05.12.2025 10:01:35.066,  0.0
05.12.2025 10:01:39.076,  0.0
05.12.2025 10:01:43.076,  0.0
05.12.2025 10:01:48.076,  3.1
05.12.2025 10:01:52.076,  3.1
05.12.2025 10:01:56.066,  3.1
05.12.2025 10:02:00.076,  3.1
05.12.2025 10:02:04.076,  3.1
05.12.2025 10:02:08.066,  3.1
05.12.2025 10:02:12.166,  3.1
05.12.2025 10:02:16.166,  3.1
05.12.2025 10:02:20.066,  3.1
05.12.2025 10:02:24.076,  3.1
05.12.2025 10:02:28.076,  3.1
05.12.2025 10:02:32.076,  3.1
05.12.2025 10:02:36.166,  3.1
05.12.2025 10:02:40.076,  3.1
05.12.2025 10:02:44.166,  3.1
05.12.2025 10:02:48.166,  3.1
05.12.2025 10:02:52.166,  3.1
05.12.2025 10:02:56.166,  3.1
05.12.2025 10:03:00.166,  3.1
05.12.2025 10:03:04.116,  3.1
05.12.2025 10:03:08.076,  3.1
05.12.2025 10:03:12.076,  3.1
05.12.2025 10:03:16.066,  3.1
05.12.2025 10:03:20.076,  3.1
05.12.2025 10:03:24.166,  3.1
05.12.2025 10:03:28.166,  3.1
05.12.2025 10:03:32.066,  3.1
05.12.2025 10:03:36.166,  3.1
05.12.2025 10:03:40.166,  3.1
05.12.2025 10:03:44.166,  3.1
05.12.2025 10:03:48.186,  3.1
05.12.2025 10:03:52.186,  3.1
05.12.2025 10:03:56.186,  3.1
05.12.2025 10:04:00.086,  3.1
05.12.2025 10:04:04.186,  3.1
05.12.2025 10:04:08.186,  3.1
05.12.2025 10:04:12.186,  3.1
05.12.2025 10:04:16.186,  3.1
05.12.2025 10:04:20.186,  3.1
05.12.2025 10:04:24.136,  3.1
05.12.2025 10:04:28.086,  3.1
05.12.2025 10:04:32.096,  3.1
05.12.2025 10:04:36.086,  3.1
05.12.2025 10:04:40.096,  3.1
05.12.2025 10:04:44.186,  3.1
05.12.2025 10:04:48.186,  3.1
05.12.2025 10:04:52.096,  3.1
05.12.2025 10:04:56.186,  3.1
05.12.2025 10:05:00.086,  3.1
05.12.2025 10:05:04.096,  3.1
05.12.2025 10:05:08.096,  3.1
05.12.2025 10:05:12.096,  3.1
05.12.2025 10:05:16.106,  3.1
05.12.2025 10:05:20.106,  3.1
05.12.2025 10:05:24.106,  3.1
05.12.2025 10:05:28.106,  3.1
05.12.2025 10:05:32.106,  3.1
05.12.2025 10:05:36.216,  3.1
05.12.2025 10:05:40.176,  3.1
05.12.2025 10:05:44.296,  3.1
05.12.2025 10:05:48.136,  3.1
05.12.2025 10:05:52.096,  3.1
05.12.2025 10:05:56.096,  3.1
05.12.2025 10:06:00.296,  3.1
05.12.2025 10:06:04.116,  3.1
05.12.2025 10:06:08.106,  3.1
05.12.2025 10:06:12.116,  3.1
05.12.2025 10:06:16.216,  3.1
05.12.2025 10:06:20.116,  3.1
05.12.2025 10:06:24.126,  3.1
05.12.2025 10:06:28.126,  3.1
05.12.2025 10:06:32.126,  3.1
05.12.2025 10:06:36.216,  3.1
05.12.2025 10:06:40.216,  3.1
05.12.2025 10:06:44.136,  3.1
05.12.2025 10:06:48.296,  3.1
05.12.2025 10:06:52.216,  3.1
05.12.2025 10:06:56.136,  3.1
05.12.2025 10:07:00.216,  3.1
05.12.2025 10:07:04.126,  3.1
05.12.2025 10:07:08.126,  3.1
05.12.2025 10:07:12.216,  3.1
05.12.2025 10:07:16.296,  3.1
05.12.2025 10:07:20.296,  3.1
05.12.2025 10:07:24.137,  3.1
05.12.2025 10:07:28.136,  3.1
05.12.2025 10:07:32.216,  3.1
05.12.2025 10:07:36.126,  3.1
05.12.2025 10:07:40.136,  3.1
05.12.2025 10:07:44.136,  3.1
05.12.2025 10:07:48.126,  3.1
05.12.2025 10:07:52.136,  3.1
05.12.2025 10:07:56.126,  3.1
05.12.2025 10:08:00.126,  3.1
05.12.2025 10:08:04.136,  3.1
05.12.2025 10:08:08.256,  3.1
05.12.2025 10:08:12.216,  3.1
05.12.2025 10:08:16.146,  3.1
05.12.2025 10:08:20.147,  3.1
05.12.2025 10:08:24.146,  3.1
05.12.2025 10:08:28.256,  3.1
05.12.2025 10:08:32.146,  3.1
05.12.2025 10:08:36.136,  3.1
05.12.2025 10:08:40.256,  3.1
05.12.2025 10:08:44.256,  3.1
05.12.2025 10:08:48.144,  3.1
05.12.2025 10:08:52.264,  3.1
05.12.2025 10:08:56.264,  3.1
05.12.2025 10:09:00.264,  3.1
05.12.2025 10:09:04.264,  3.1
05.12.2025 10:09:08.264,  3.1
05.12.2025 10:09:12.165,  3.1
05.12.2025 10:09:16.166,  3.1
05.12.2025 10:09:20.164,  3.1
05.12.2025 10:09:24.154,  3.1
05.12.2025 10:09:28.154,  3.1
05.12.2025 10:09:32.164,  3.1
05.12.2025 10:09:36.264,  3.1
05.12.2025 10:09:40.264,  3.1
05.12.2025 10:09:44.264,  3.1
05.12.2025 10:09:48.264,  3.1
05.12.2025 10:09:52.164,  3.1
05.12.2025 10:09:56.164,  3.1
05.12.2025 10:10:00.164,  3.1
05.12.2025 10:10:04.164,  3.1
05.12.2025 10:10:08.165,  3.1
05.12.2025 10:10:12.254,  3.1
05.12.2025 10:10:16.264,  3.1
05.12.2025 10:10:20.254,  3.1
05.12.2025 10:10:24.254,  3.1
05.12.2025 10:10:28.164,  3.1
05.12.2025 10:10:32.154,  3.1
05.12.2025 10:10:36.164,  3.1
05.12.2025 10:10:40.154,  3.1
05.12.2025 10:10:44.164,  3.1
05.12.2025 10:10:48.254,  3.1
05.12.2025 10:10:52.254,  3.1
05.12.2025 10:10:56.254,  3.1
05.12.2025 10:11:00.154,  3.1
05.12.2025 10:11:04.164,  3.1
05.12.2025 10:11:08.164,  3.1
05.12.2025 10:11:12.164,  3.1
05.12.2025 10:11:16.164,  3.1
05.12.2025 10:11:20.154,  3.1
05.12.2025 10:11:24.154,  3.1
05.12.2025 10:11:28.154,  3.1
05.12.2025 10:11:32.164,  3.1
05.12.2025 10:11:36.254,  3.1
05.12.2025 10:11:40.154,  3.1
05.12.2025 10:11:44.254,  3.1
05.12.2025 10:11:48.254,  3.1
05.12.2025 10:11:52.254,  3.1
05.12.2025 10:11:56.254,  3.1
05.12.2025 10:12:00.154,  3.1
05.12.2025 10:12:04.164,  3.1
05.12.2025 10:12:08.154,  3.1
05.12.2025 10:12:12.164,  3.1
05.12.2025 10:12:16.164,  3.1
05.12.2025 10:12:20.254,  3.1
05.12.2025 10:12:24.254,  3.1
05.12.2025 10:12:28.254,  3.1
05.12.2025 10:12:32.254,  3.1
05.12.2025 10:12:36.154,  3.1
05.12.2025 10:12:40.164,  3.1
05.12.2025 10:12:44.154,  3.1
05.12.2025 10:12:48.164,  3.1
05.12.2025 10:12:52.164,  3.1
05.12.2025 10:12:56.164,  3.1
05.12.2025 10:13:00.154,  3.1
05.12.2025 10:13:04.154,  3.1
05.12.2025 10:13:08.154,  3.1
05.12.2025 10:13:12.254,  3.1
05.12.2025 10:13:16.254,  3.1
05.12.2025 10:13:20.254,  3.1
05.12.2025 10:13:24.174,  3.1
05.12.2025 10:13:28.164,  3.1
05.12.2025 10:13:32.174,  3.1
05.12.2025 10:13:36.164,  3.1
05.12.2025 10:13:40.174,  3.1
05.12.2025 10:13:44.164,  3.1
05.12.2025 10:13:48.189,  3.1
05.12.2025 10:13:52.189,  3.1
05.12.2025 10:13:56.179,  3.1
05.12.2025 10:14:00.269,  3.1
05.12.2025 10:14:04.190,  3.1
05.12.2025 10:14:08.179,  3.1
05.12.2025 10:14:12.190,  3.1
05.12.2025 10:14:16.179,  3.1
05.12.2025 10:14:20.179,  3.1
05.12.2025 10:14:24.339,  3.1
05.12.2025 10:14:28.269,  3.1
05.12.2025 10:14:32.299,  3.1
05.12.2025 10:14:36.179,  3.1
05.12.2025 10:14:40.189,  3.1
05.12.2025 10:14:44.299,  3.1
05.12.2025 10:14:48.199,  3.1
05.12.2025 10:14:52.189,  3.1
